crop,district,annual_rainfall_mm,n,p,k,temperature_c,humidity_pct,ph,recommended_fertilizer,fertilizer_plan,recommended_fertilizer_norm
peas,Kasungu,1200,60,30,20,22.5,70,6.8,Urea,Apply 150kg/ha Urea basal at planting + 75kg/ha CAN top-dress at V6,urea
peas,Dedza,900,40,20,15,20.5,60,6.2,DAP,Apply 200kg/ha DAP basal at planting,dap
peas,Salima,1500,80,40,25,25.5,80,7.0,NPK 23:21:0,Apply 250kg/ha NPK 23:21:0 basal at planting + 125kg/ha Urea top-dress at V6,npk 23:21:0
watermelon,Mangochi,1800,100,50,35,28.5,90,7.5,17-17-17,Apply 300kg/ha 17-17-17 basal at planting,17-17-17
watermelon,Balaka,1600,90,45,30,26.5,85,7.2,SSP,Apply 220kg/ha SSP basal at planting,ssp
watermelon,Chiradzulu,1400,80,40,25,24.5,75,6.9,28-28,Apply 280kg/ha 28-28 basal at planting,28-28
pumpkin,Thyolo,1300,70,35,20,23.5,65,6.5,Urea,Apply 180kg/ha Urea basal at planting + 90kg/ha CAN top-dress at V6,urea
pumpkin,Mulanje,1100,50,25,15,21.5,55,6.0,DAP,Apply 200kg/ha DAP basal at planting,dap
pumpkin,Phalombe,1600,90,45,30,25.5,80,7.0,14-35-14,Apply 240kg/ha 14-35-14 basal at planting,14-35-14
chilli,Chikwawa,1400,80,40,25,26.5,75,6.8,NPK 23:21:0,Apply 250kg/ha NPK 23:21:0 basal at planting + 125kg/ha Urea top-dress at V6,npk 23:21:0
chilli,Nsanje,1200,60,30,20,24.5,70,6.5,10-26-26,Apply 220kg/ha 10-26-26 basal at planting,10-26-26
chilli,Karonga,1500,90,45,30,27.5,85,7.2,20-20,Apply 280kg/ha 20-20 basal at planting,20-20
garlic,Kasungu,1000,50,25,15,20.5,60,6.0,CAN,Apply 150kg/ha CAN basal at planting,can
garlic,Dedza,800,40,20,10,19.5,55,5.8,Urea,Apply 120kg/ha Urea basal at planting,urea
garlic,Salima,1200,60,30,20,22.5,70,6.5,DAP,Apply 180kg/ha DAP basal at planting,dap
ginger,Mangochi,1800,100,50,35,28.5,90,7.5,17-17-17,Apply 300kg/ha 17-17-17 basal at planting,17-17-17
ginger,Balaka,1600,90,45,30,26.5,85,7.2,SSP,Apply 220kg/ha SSP basal at planting,ssp
ginger,Chiradzulu,1400,80,40,25,24.5,75,6.9,28-28,Apply 280kg/ha 28-28 basal at planting,28-28
tea,Thyolo,1300,70,35,20,23.5,65,6.5,Urea,Apply 180kg/ha Urea basal at planting + 90kg/ha CAN top-dress at V6,urea
tea,Mulanje,1100,50,25,15,21.5,55,6.0,DAP,Apply 200kg/ha DAP basal at planting,dap
tea,Phalombe,1600,90,45,30,25.5,80,7.0,14-35-14,Apply 240kg/ha 14-35-14 basal at planting,14-35-14
macadamia,Chikwawa,1400,80,40,25,26.5,75,6.8,NPK 23:21:0,Apply 250kg/ha NPK 23:21:0 basal at planting + 125kg/ha Urea top-dress at V6,npk 23:21:0
macadamia,Nsanje,1200,60,30,20,24.5,70,6.5,10-26-26,Apply 220kg/ha 10-26-26 basal at planting,10-26-26
macadamia,Karonga,1500,90,45,30,27.5,85,7.2,20-20,Apply 280kg/ha 20-20 basal at planting,20-20
